claim	article_url	video_url	autres_candidats
Une vidéo montrerait un atelier d'effets spéciaux du Hamas à Gaza	https://factuel.afp.com/doc.afp.com.34229KP	https://www.youtube.com/watch?v=sq485mm3Ct4	https://www.youtube.com/watch?v=hwpchsSe5dI
Une vidéo prouve la théorie de la terre creuse	https://www.20minutes.fr/planete/4232655-20260707-video-prouve-theorie-terre-creuse-existence-mondes-secrets-sous-pieds-vraiment	https://x.com/EnigmasEnX/status/2072128476618875276	https://www.instagram.com/p/CraztfVOv2i
Une vidéo montre qu'en 2022, les Russes avaient simulé une attaque des Ukrainiens au Crocus City Hall	https://www.tf1info.fr/international/fusillade-pres-de-moscou-en-2022-la-russie-avait-elle-simule-une-attaque-des-forces-armees-ukrainiennes-dans-cette-meme-salle-de-concert-le-crocus-city-hall-comme-le-montre-une-video-2290373.html		
Vidéo du Raptor sur le réchauffement climatique	https://www.franceinfo.fr/replay-radio/le-vrai-du-faux/vrai-ou-faux-les-erreurs-et-imprecisions-du-raptor-qui-pretend-decrypter-l-arnaque-mondiale-du-climatisme_6759523.html		
Cette vidéo montre un mur de glace en Antarctique.	https://dpa-factchecking.com/belgium/260217-99-547141/	https://www.instagram.com/reel/DUk8NBqDVTw	https://www.tiktok.com/@larycoco3/video/7605539250854989078; https://x.com/KRONIKInsights/status/2021133601207652493; https://x.com/Awk20000/status/2020841962455322772
Une vidéo d'oiseaux gelés par le froid en Chine	https://factuel.afp.com/doc.afp.com.34LJ36F	https://twitter.com/SierraTango74/status/1760066590748627445	https://www.instagram.com/p/C3eaIt7t8-p
Une vidéo prouve des fraudes lors des élections européennes car tous les bulletins n'étaient pas présents	https://factuel.afp.com/doc.afp.com.34W78YT	https://www.tiktok.com/@ray9220/video/7378500239877098785	https://twitter.com/FLFranceLibre/status/1795943141037514922
Une vidéo d’un civil abattu par des groupes armés à Goma	https://factuel.afp.com/doc.afp.com.C4422ZR		
Aux Etats-Unis, des militants s'en prennent aux policiers, comme on peut le voir sur cette vidéo.	https://dpa-factchecking.com/belgium/250612-99-142247	https://www.tiktok.com/@actanews/video/7513959589424008470	https://www.facebook.com/100075789950246/videos/1508785903432994; https://www.youtube.com/watch?v=0hUj4vXuIrM; https://youtu.be/0hUj4vXuIrM
Des vidéos de fermetures de bazars montrent que "les Chinois ont fui l'Espagne"	https://www.20minutes.fr/monde/chine/4147599-20250409-espagne-non-communaute-chinoise-quitte-massivement-pays	https://www.tiktok.com/@chinosguayacos/video/7489482584351575318	https://www.instagram.com/p/DH9RtCUOHeD
En Ukraine, les eaux sont-elles massivement polluées par la multiplication des cadavres en décomposition	https://www.tf1info.fr/international/verif-fake-news-ukraine-d-ou-vient-cette-rumeur-selon-laquelle-l-extension-des-cimetieres-provoquerait-une-contamination-des-eaux-2332924.html	https://x.com/Pascal_Laurent_/status/1853702859981783257	
Cette vidéo montre de fausses victimes mortes en Ukraine	https://www.tf1info.fr/international/video-guerre-ukraine-russie-fake-news-non-cette-video-ne-montre-pas-un-faux-cadavre-fumer-une-cigarette-2243154.html	https://www.youtube.com/watch?v=8sx-aG8e-8M	https://www.tiktok.com/@vasyaivanovdesign/video/6944648301446745346
Cette vidéo montre une faute non-sanctionnée de Messi au Mondial face à la Suisse	https://factuel.afp.com/doc.afp.com.C2DF8WE		
Des juifs qui manifestaient contre les violences faites aux Palestiniens devant un centre de recrutement milit	https://dpa-factchecking.com/switzerland/231102-99-798975	https://twitter.com/ThomAldrinFR/status/1717407440759570905	https://twitter.com/Itamar_cohen_1/status/1665673287278395394; https://twitter.com/Itamar_cohen_1/status/1716865711673651617
Ces vidéos montrent un pétrolier américain frappé par un missile iranien	https://factuel.afp.com/doc.afp.com.A2YH89E	https://www.youtube.com/watch?v=ImHrb2L4PaI	https://www.youtube.com/embed/J3Zed74_oms
Une vidéo des viandes envoyées d'Israël jetées par le peuple de Gaza	https://factuel.afp.com/doc.afp.com.C2Q38ZW		
Une vidéo de censure des JO de Paris 2024 à la télé iranienne	https://factuel.afp.com/doc.afp.com.368M6B2	https://www.facebook.com/victor.perez.353/videos/1061299742095850	https://www.youtube.com/watch?v=Ch6qDoYzQdM; https://www.youtube.com/watch?v=YfWS8C0Acaw; https://www.youtube.com/watch?v=Xu7gVF5Dxg0
Cette vidéo montre la complicité de gendarmes marocains dans l'afflux de migrants à Ceuta	https://www.tf1info.fr/international/verif-ceuta-ce-que-l-on-sait-sur-la-video-d-un-camion-d-ou-descendent-des-dizaines-de-jeunes-hommes-au-maroc-2456710.html		
La vidéo virale de la manifestante de dos montre une Iranienne assassinée Hadis Najafi	https://www.20minutes.fr/monde/4002550-20220927-manifestations-iran-attention-video-attribuee-hadis-najafi-devenue-symbole-revolte	https://twitter.com/yashar/status/1573687879892537345	https://twitter.com/bbcpersian/status/1574197898883088385; https://twitter.com/KianSharifi/status/1574247664429981704
Une vidéo d'Erling Halland se faisant peur à lui-même	https://factuel.afp.com/doc.afp.com.B9DA49M		
Sur les réseaux, deux affirmations circulent : « il n'y a pas d'Ebola en RDC	https://beto.cd/beto-verite-ebola-nest-pas-invention-vendre-vaccins-factcheck/		
Une vidéo montre des manifestants pro-Palestiniens s'en prendre violemment à la police barcelonaise.	https://factuel.afp.com/doc.afp.com.33YX3XR	https://twitter.com/I_Desouche/status/1714593184179773523	https://twitter.com/ScarcityStudios/status/1323050350488768516; https://www.youtube.com/watch?v=ZHDB3mC45ZU; https://www.youtube.com/embed/ZHDB3mC45ZU
Une vidéo montre Donald Trump humilier publiquement Emmanuel Macron lors du sommet sur Gaza	https://www.tf1info.fr/international/verif-donald-trump-a-t-il-humilie-emmanuel-macron-devant-le-monde-entier-lors-du-sommet-sur-gaza-2400522.html	https://x.com/SirAfuera/status/1977790623261319213	
Une vidéo démontre que l'armée américaine a développé des drones corbeaux	https://www.tf1info.fr/high-tech/verif-la-bataille-du-futur-l-armee-americaine-a-t-elle-developpe-des-drones-corbeaux-capables-de-passer-inapercus-2440467.html		
Une vidéo diffusée par inadvertance dans les médias montre des soldats ukrainiens dispersant des cadavres dans	https://dpa-factchecking.com/belgium/220412-99-894842	https://twitter.com/Antigone7508/status/1513044293304344583	https://www.youtube.com/watch?v=WllIHIcThC4; https://www.youtube.com/watch?v=P3v41owXZME
Cette vidéo montre les dégats du séisme au Myanmar.	https://dpa-factchecking.com/belgium/250403-99-425742	https://www.tiktok.com/@chatotedrywall0/video/7487061907648646446	https://www.tiktok.com/@woediggedy1/video/7487014177131810079; https://www.tiktok.com/@the.360.report/video/7477655433151368478; https://www.tiktok.com/@the.360.report/video/7485055229344451870
Une vidéo de manifestation d'Américains contre les frappes américaines en Iran	https://factuel.afp.com/doc.afp.com.63PE4WD	https://www.instagram.com/reel/DK50fLNR6ka	https://www.facebook.com/ABC10News/videos/1180876467171655; https://www.facebook.com/geopoliticoInfo/videos/569529816008060; https://www.facebook.com/100095273839011/videos/587344447405026
Les autorités ukrainiennes préparaient une tentative d'assassinat contre le président français Emmanuel Macron	https://dpa-factchecking.com/belgium/240311-99-298903	https://www.youtube.com/watch?v=nFRnhZtdbNE	
Une vidéo montre une grande manifestation pro-Palestine en France.	https://dpa-factchecking.com/switzerland/231106-99-842947	https://www.facebook.com/100009936014258/videos/351477360621530	https://twitter.com/futebol_info/status/1710066932727079128
Cette vidéo montre le consulat d’Israël à Istanbul incendié fin mai 2024	https://factuel.afp.com/doc.afp.com.34U4439	https://x.com/rifain_nouvelle/status/1795203122681270357	https://x.com/swilkinsonbc/status/1714507438718591087; https://x.com/KendineMuhabir/status/1714433475313340922; https://x.com/ErdemARABACII/status/1714437953504661823
Une vidéo montrant la jeunesse ghanéenne rejeter des sacs de riz offerts par des politiciens	https://factuel.afp.com/doc.afp.com.368424Y		
Une vidéo montre un soldat tué par un homme derrière son ordinateur avec une manette de jeu vidéo	https://www.tf1info.fr/international/verif-la-nouvelle-guerre-moderne-cette-video-montre-t-elle-vraiment-un-soldat-tue-par-un-homme-derriere-son-ordinateur-2443627.html	https://www.instagram.com/reel/DVjHzaHhRfr	https://x.com/WarNewsPL1/status/2034016405428072901; https://www.youtube.com/shorts/LLR6w6qevns
Une vidéo tournée en RDC montre une vente d'enfants, exploités pour travailler dans des mines	https://www.tf1info.fr/international/congo-gare-a-ces-images-presentees-a-tort-comme-une-vente-d-enfants-pour-travailler-dans-des-mines-2325988.html	https://x.com/benoitm_mtl/status/1840753470590361933	https://www.tiktok.com/@dbnconcepts/video/7245557331809897733
Ces vidéos montrent le braquage du Louvre.	https://www.tf1info.fr/justice-faits-divers/verif-casse-du-siecle-au-louvre-de-fausses-images-du-cambriolage-generees-par-ia-devenues-virales-2402078.html		
La vidéo d'un gigantesque objet noir démontre l'existence du projet HAARP pour dérégler le climat	https://www.tf1info.fr/meteo/verif-haarp-un-gigantesque-objet-noir-cette-video-revele-t-elle-l-utilisation-d-un-outil-de-manipulation-du-climat-2451105.html	https://youtu.be/HIdXGGvm9lE	https://www.youtube.com/watch?v=KgtJfb2PpeY
Cette vidéo montre la faille sismique en Turquie après le séisme	https://factuel.afp.com/doc.afp.com.339X6FL	https://twitter.com/BPartisans/status/1627377677194653697	https://www.youtube.com/watch?v=9ERM1aOZzIc
Une vidéo montre des soldats détruire un hélicoptère américain avec un lance-roquette valant 150 dollars	https://www.tf1info.fr/international/verif-des-iraniens-ont-ils-detruit-un-helicoptere-americain-avec-une-arme-a-150-dollars-2446886.html	https://x.com/CENTCOM/status/2064512017197941163	
Cette vidéo montre une manifestation d'agriculteurs néerlandais organisée en 2022 aux Pays-Bas	https://factuel.afp.com/doc.afp.com.32GN2CD		
Cette vidéo montre l'arrivée de la flottille pour la liberté à Gaza.	https://www.tf1info.fr/international/verif-la-flottille-pour-gaza-est-elle-vraiment-arrivee-dans-l-enclave-palestinienne-palestine-israel-hamas-guerre-blocus-2397913.html		
Cette vidéo de migrants clandestins musulmans et propalestiniens menaçant la France est-elle authentique ?	https://www.20minutes.fr/societe/4173993-20250922-video-migrants-clandestins-musulmans-propalestiniens-menacant-france-authentique	https://x.com/EricArchambaul7/status/1967669915390754899	https://x.com/JeanMessiha/status/1967888714681741707; https://www.tiktok.com/@sentinelle_fr/video/7550702628024470806; https://www.facebook.com/100075407821775/videos/649943894457657
Cette vidéo montre la réaction de l'épouse d'Andy Byron à la révélation de l'adultère supposé de son mari.	https://www.tf1info.fr/culture/verif-soupcons-d-adultere-au-concert-de-coldplay-cette-video-montrant-l-epouse-d-andy-byron-megan-reagir-est-un-faux-2384090.html		
Le ministre nigérien de la Justice détaille les circonstances de l'attaque à l'aéroport de Niamey dans une vid	https://factuel.afp.com/doc.afp.com.97VP4KF	https://www.tiktok.com/@grald.yao/video/7606060887161457927	https://www.youtube.com/watch?v=w6tpIBHhZLw; https://www.youtube.com/watch?v=95rjNFiEPv8
Une vidéo virale montre un conducteur italien forcer un barrage de militants écologistes car il doit rejoindre	https://www.tf1info.fr/international/verif-un-conducteur-italien-filme-en-train-de-renverser-des-militants-ecologistes-car-il-veut-rejoindre-sa-femme-enceinte-2359408.html	https://x.com/NoContextHumans/status/1900200188263678205	
Cette vidéo montre des pilotes manifester contre les vaccins anti-Covid	https://factuel.afp.com/doc.afp.com.32D34K3	https://twitter.com/ShannonMFox4/status/1539260460725424129	https://twitter.com/MarkieMartin/status/1539263820803280896; https://twitter.com/EricArchambaul7/status/1539688428186517506; https://twitter.com/RestonsHumain/status/1539708222797500416
Ces images montrent la police russe "traquer et arrêter les homosexuels" dans une boîte de nuit	https://www.tf1info.fr/international/verif-que-sait-on-de-ces-images-d-une-descente-de-police-pour-traquer-et-arreter-les-homosexuels-dans-une-boite-de-nuit-de-moscou-2408163.html	https://x.com/CartesDuMonde/status/1991469571145101676	https://x.com/novayagazeta_en/status/1991556142594683070
Une vidéo virale sur X montre une "racaille" se faire "humilier", éjectée à coup de pied d'un wagon du métro p	https://www.tf1info.fr/societe/verif-cette-video-virale-montre-t-elle-vraiment-un-delinquant-se-faire-humilier-dans-le-metro-parisien-2356790.html	https://x.com/stillgray/status/1895078536374833473	https://www.instagram.com/reel/DEAQmgDt4z8
Un tableau de Cézanne dérobé il y a un mois dans un musée en Italie a été aperçu dans une vidéo postée par Zel	https://dpa-factchecking.com/belgium/260427-99-253161	https://www.youtube.com/watch?v=VSPwPaNlFDw	https://www.tiktok.com/@vladdimir619/video/7631846690160479510
La porte-parole de la Maison-Blanche, Karine Jean-Pierre, a déclaré que la Seconde Guerre mondiale avait été g	https://dpa-factchecking.com/belgium/240516-99-56849	https://www.youtube.com/watch?v=1FGOhb0OgrE	
Des vidéos prises sur la plage d'Odessa, en Ukraine, prouve que la guerre est une mise en scène	https://www.tf1info.fr/international/guerre-ukraine-ukraine-des-videos-de-plages-bondees-et-fetes-prouvent-elles-une-mise-en-scene-du-conflit-a-odessa-2266674.html		
Dans une vidéo d'une visite d'hôpital publiée le 13 mars, Volodymyr Zelensky est accompagné d'Inna Derusova, d	https://www.20minutes.fr/monde/3252807-20220315-guerre-ukraine-zelensky-publie-video-truquee-visite-soldats-blesses-non	https://www.facebook.com/zelenskiy.official/videos/301644005368249	https://www.youtube.com/watch?v=7gMlDcNQZcY
La vidéo montre une frappe israélienne sur des enfants palestiniens faisant la queue à un réservoir d'eau à Ga	https://factuel.afp.com/doc.afp.com.33ZP8U9	https://www.youtube.com/embed/l7KomOoxw6s	https://www.youtube.com/embed/oRRET7eigMw; https://www.youtube.com/embed/BRManKiKljk; https://www.youtube.com/embed/zwrxQyU5iJ0
Une vidéo de quokka authentique	https://www.20minutes.fr/societe/4232171-20260703-australie-petit-marsupial-tres-doue-reclamer-nourriture-ia	https://x.com/Crazymoments01/status/2069619784736489892	
Une vidéo du Hezbollah revendiquant une attaque à venir en France pour le 14 juillet	https://factuel.afp.com/doc.afp.com.B9ZW3NR		
Une vidéo virale montre des électeurs RN décomposés et en colère après le second tour des législatives	https://www.tf1info.fr/elections/resultat-election-legislative-non-cette-video-virale-ne-montre-pas-la-reaction-d-electeurs-du-rn-au-soir-du-second-tour-2307606.html	https://x.com/brk_4k/status/1810021968206590314	https://youtu.be/JBj7wqitVIo
Une vidéo virale montre Jeffrey Epstein en vie, en train de conduire une voiture en Floride	https://www.tf1info.fr/international/verif-jeffrey-epstein-toujours-en-vie-une-theorie-du-complot-relancee-par-un-sosie-filme-en-floride-2431905.html	https://www.tiktok.com/@amposey27/video/7616481229042486559	https://www.youtube.com/watch?v=RTJgyx63B_s
Des images inédites du futur GTA 6 ont fuité en ligne	https://www.tf1info.fr/culture/verif-des-images-inedites-du-futur-jeu-video-gta-6-rockstar-games-ont-elles-vraiment-fuite-en-ligne-internet-ia-2425563.html	https://x.com/pediavenir/status/2023714050761458160	
Une vidéo montre une boite de conserve sans viande donnée aux soldats russes	https://www.tf1info.fr/international/verif-une-boite-de-conserve-sans-viande-cette-video-montre-t-elle-le-rationnement-drastique-des-soldats-russes-2447135.html		
Ces vidéos montrent Beyrouth après des frappes israéliennes.	https://dpa-factchecking.com/switzerland/241009-99-661277	https://www.tiktok.com/@digital.n0mad/video/7420582163529174277	https://twitter.com/camille_moscow/status/1843177901170282953; https://twitter.com/FrotChristophe/status/1843053061117546499; https://twitter.com/ALJADEEDNEWS/status/1842671669791375404
Des vidéos virales prouvent une arnaque dans les stations-service, avec de l'air mêlé au carburant pour réduir	https://www.tf1info.fr/conso/verif-il-y-a-un-quart-d-air-dans-ton-litre-de-gasoil-ces-videos-prouvent-elles-une-arnaque-a-la-pompe-dans-les-stations-services-des-supermarches-2380266.html	https://www.instagram.com/reel/DLKLZ5PNfMe	
Cette vidéo montre un technicien de studio à bord d'un prétendu décor de l'ISS	https://factuel.afp.com/doc.afp.com.36RX4TX	https://www.youtube.com/watch?v=eoH7dyrQV0A	https://www.youtube.com/watch?v=bhwF9G9t70o; https://www.youtube.com/embed/bhwF9G9t70o
Une vidéo TikTok prétend montrer des arnaques sur les volumes de carburant dans les stations-services	https://www.tf1info.fr/conso/reseaux-sociaux-cette-video-tiktok-prouve-t-elle-l-existence-d-une-arnaque-sur-les-volumes-de-carburants-delivres-a-la-pompe-2330204.html	https://www.tiktok.com/@naiikoon/video/7428145703249120545	
Cette vidéo de femmes agressées dans le métro à Londres est-elle authentique ?	https://www.20minutes.fr/societe/4176849-20251005-video-femmes-agressees-metro-londres-fond-xenophobe-authentique	https://x.com/BGatesIsaPyscho/status/1970062543650791825	
Cette vidéo montre des soldats ukrainiens disposer des cadavres à Boutcha	https://factuel.afp.com/doc.afp.com.3289672	https://twitter.com/GerardBondeau/status/1513842186839801856	
Des vidéos montrent la frappe de l'Iran contre un navire escorté par les États-Unis	https://www.tf1info.fr/international/verif-detroit-d-ormuz-que-sait-on-de-ces-videos-qui-pretendent-montrer-la-frappe-de-l-iran-contre-des-navires-americains-2439827.html	https://www.youtube.com/watch?v=SJTnRfdARSo	
Cette vidéo montre une expérience américaine sur le tremblement de terre avec des bombes à fosse.	https://dpa-factchecking.com/belgium/230221-99-682622	https://www.youtube.com/watch?v=UPwSN9gUG5c	https://www.facebook.com/100089444835205/videos/681986470392540; https://www.facebook.com/celine.roy.9634/videos/1235367600742749
Cette vidéo montre le raid israélien dans l'hôpital al-Chifa à Gaza	https://factuel.afp.com/doc.afp.com.343R3LV	https://twitter.com/patateMiDouce/status/1724737737029239202	https://www.youtube.com/watch?v=HfpTXcpCXl0; https://www.youtube.com/embed/HfpTXcpCXl0
Des vidéos d'agriculteurs en larmes après l'abattage de leurs bêtes	https://factuel.afp.com/doc.afp.com.88UJ6T3	https://www.tiktok.com/@zoomactufr20/video/7583458947244346646	https://www.youtube.com/embed/7Ff6iQQLs8o; https://www.youtube.com/embed/aYeBD6SBcvQ
Cette vidéo montre la mairie de Paris colorer la Seine en bleu	https://factuel.afp.com/doc.afp.com.34TF8AB	https://www.tiktok.com/@username1246435853267430/video/7368867264982027553	https://www.tiktok.com/@jeffhoffman04/video/7368099183787560234; https://www.youtube.com/embed/43OtAQR6K00; https://twitter.com/surfriderfrance/status/1777216343848124889
Une vidéo de l'éclipse solaire 2025 dans le nord de l'Espagne	https://factuel.afp.com/doc.afp.com.C4WH263		
Cette vidéo montre Kamala Harris prendre la pose à côté du rappeur américain Sean Diddy Combs	https://factuel.afp.com/doc.afp.com.36GZ36M	https://x.com/silvano_trotta/status/1837921704607105458	https://www.youtube.com/watch?v=-9z-zQJSUL4; https://x.com/Montel_Williams/status/1159136328505864197; https://x.com/Montel_Williams/status/1836082554501206155
La vidéo de Benyamin Netanyahou dans un café est générée par IA	https://www.tf1info.fr/international/verif-guerre-moyen-orien-la-video-de-premier-ministre-israel-benyamin-netanyahou-dans-un-cafe-est-elle-generee-par-ia-2430523.html	https://x.com/netanyahu/status/2032347755247517738	https://x.com/netanyahu/status/2033190035764232360; https://x.com/YGvirtzman/status/1993721636521197826; https://x.com/MyLordBebo/status/2033465641148002765
Cette vidéo montre des paquebots de croisière déverser leurs eaux usées dans la mer.	https://dpa-factchecking.com/switzerland/250331-99-388065	https://www.facebook.com/elisabeth.lili.79/videos/681908621067943	https://www.facebook.com/ricardo.puccaco/videos/1056542729842918; https://www.facebook.com/elisabeth.meyrieuxbis.1/videos/2000971123758993; https://www.tiktok.com/@tokshopit/video/7483449654940568878
Cette vidéo montre une manifestation contre le gouvernement polonais de fin novembre 2024	https://factuel.afp.com/doc.afp.com.36PC8B3		
Une vidéo montre des Algériens célébrer la défaite du Maroc en finale de la CAN-2025	https://www.tf1info.fr/sport/verif-virale-cette-video-montre-t-elle-vraiment-des-celebrations-algeriennes-apres-la-defaite-du-maroc-a-la-can-2419521.html	https://www.tiktok.com/@eakmed/video/7595367400187481366	
Une vidéo du dernier hommage à CR7 rendu à Madère	https://factuel.afp.com/doc.afp.com.C2274KE		
Cette vidéo montrant des Italiens retirant un drapeau européen du siège de l'UE à Rome est récente	https://factuel.afp.com/doc.afp.com.32K84U7	https://www.youtube.com/watch?v=jwbEJg0Y9yk	https://www.facebook.com/afpfactuel/videos/180065540752054; https://www.youtube.com/watch?v=7PIAK8o-cOo; https://youtu.be/f10ZrJ_1lo0
Cette vidéo montre des rafales de tirs en Ukraine	https://factuel.afp.com/doc.afp.com.32474DU	https://www.facebook.com/kevin.gosselaire.77/videos/1189158945222488	https://www.youtube.com/embed/ERG5CkduphI
Des vidéos et photos montrent un crash de vayageurs Mauritaniens en mer Rouge	https://factuel.afp.com/doc.afp.com.48VT2NP	https://www.youtube.com/watch?v=Ov8sbxQg6ss	https://www.youtube.com/watch?v=w6tpIBHhZLw
Cette vidéo montre des soldats russes piller le corps d'un blessé	https://www.tf1info.fr/international/guerre-en-ukraine-cette-video-montre-t-elle-des-soldats-russes-piller-le-corps-d-un-blesse-2257507.html		
Ces images montrent un navire de guerre américain tirant avec une arme laser.	https://dpa-factchecking.com/belgium/250224-99-24376	https://www.facebook.com/luc.poupeau.1/videos/3851077581808589	https://x.com/CommonSenseMars/status/1886284066124865594; https://twitter.com/BlackBondPtv/status/1886818955857199457
Cette vidéo montre un bâtiment s'effondrer suite au récent tremblement de terre au Maroc.	https://dpa-factchecking.com/switzerland/230912-99-169283	https://twitter.com/StopinfoFr/status/1700316296846487684	https://www.facebook.com/welcometoagadir20/videos/2538242329612250; https://www.youtube.com/watch?v=2KU7kGcTHN0; https://www.facebook.com/dibenedettocalogero/videos/1229441774399870
Cette vidéo montre un tremblement de magnitude 7,2 au Japon, vu sous l'eau.	https://dpa-factchecking.com/belgium/240108-99-533358	https://www.tiktok.com/@laviedesautres99/video/7319553049058364705	https://www.facebook.com/9News/videos/352068804025304; https://www.youtube.com/watch?v=Hp2lAY0OMoI; https://www.youtube.com/watch?v=fa0A8XYte_U
Une vidéo des récentes manifestations à Los Angeles	https://factuel.afp.com/doc.afp.com.49RY9KD	https://www.youtube.com/watch?v=WLEvLB5KYNI	https://x.com/Alain99Jean/status/1931918818151956847
Cette vidéo montre une activiste européenne arrêtée à Gaza	https://factuel.afp.com/doc.afp.com.87KF9KE	https://www.youtube.com/watch?v=WLEvLB5KYNI	
Une vidéo montre le passage à tabac d'un membre du gouvernement Bazoum	https://factuel.afp.com/doc.afp.com.33QR8V7	https://twitter.com/moloubakotty/status/1686586527244009472	https://www.youtube.com/watch?v=McTT1S7dHes; https://www.youtube.com/watch?v=Ip4pDT3QQN4; https://www.youtube.com/embed/nkGjhszwmLE
Le Monde a réalisé une vidéo sur un jeu-concours organisé par Promovacances permettant de gagner un tour du mo	https://factuel.afp.com/doc.afp.com.33WP6TK	https://www.youtube.com/embed/-9z-zQJSUL4	https://www.youtube.com/embed/g_03vdt6Sbs; https://www.youtube.com/embed/l7lK48Q753E; https://www.youtube.com/embed/hpCnZdPGcvs
Cette vidéo montre un recrutement de soldats ukrainiens	https://factuel.afp.com/doc.afp.com.36RB6UC	https://x.com/silvano_trotta/status/1868380339652940200	https://www.instagram.com/p/DDnBin-oSVC; https://x.com/CforCD/status/1868601676363685917; https://www.youtube.com/watch?v=I0rVqJ6mgKA
Une vidéo montre des feux d'artifice à Gaza début octobre 2023.	https://dpa-factchecking.com/switzerland/231013-99-552368	https://twitter.com/lyouuucef/status/1680335674707439616	https://www.facebook.com/imed.daghfous/videos/694293509263088; https://www.tiktok.com/@memedkedir/video/7285424503692283142; https://www.tiktok.com/@ramiguerfi41/video/7283689424565619973
Cette vidéo montre les manifestations en Iran	https://factuel.afp.com/doc.afp.com.92UX6KE		
Une vidéo montre un professeur giflé et une scène de chaos lors de la rentrée universitaire à Grenoble	https://www.tf1info.fr/education/verif-prof-gifle-etudiants-marchant-sur-les-tables-gare-a-cette-video-de-la-rentree-a-la-fac-de-grenoble-2392502.html		
Plusieurs vidéos circulent sur l'Iran et montrent la violence des manifestations	https://www.20minutes.fr/monde/4003832-20221009-iran-pere-dansant-tombe-fille-feux-artifice-lances-police-attention-videos-detournees	https://twitter.com/VahidRazavi/status/1574877209331785728	https://www.youtube.com/watch?v=_CGxBciEWws; https://twitter.com/13lunt420Media/status/1573973842959147008; https://twitter.com/W_Alhusseini/status/1571174464875859969
Cette vidéo montre le séisme survenu au Venezuela le 24 juin 2026	https://factuel.afp.com/doc.afp.com.B93M4KE		
Les métadonnées de l'allocution de Poutine sur l'invasion de l'Ukraine montrent que la vidéo a été filmée le 2	https://factuel.afp.com/doc.afp.com.323U8YG	https://twitter.com/novaya_gazeta/status/1496702395438485504	https://www.youtube.com/embed/9ERM1aOZzIc; https://twitter.com/novaya_gazeta/status/1497219788870926342; https://twitter.com/alpraliso/status/1496774020708155395
Une banderole a été accrochée à New York avec les mots "No Zelensky - no war".	https://dpa-factchecking.com/belgium/230703-99-271692	https://www.youtube.com/watch?v=SN8AQ-V5nbg	https://youtu.be/yhkbg8p2Gts; https://www.instagram.com/p/CRPM3Guoe78; https://www.youtube.com/watch?v=yhkbg8p2Gts
Une vidéo montre "l'ange de la mort" arrivé en Iran pour faire plier les Américains	https://www.tf1info.fr/international/verif-l-ange-de-la-mort-en-iran-ce-que-l-on-sait-de-ce-soldat-erige-en-heros-contre-les-americains-2434840.html	https://www.youtube.com/watch?v=o4l7Lyv-dpA	
